"You may also be interested in the following product(s)", "Up-Sell Products"
"Product Description", "Description"
"Based on your selection, you may be interested in the following items:", "Crossell Products"
"Remove item", "Remove"
"Go to Shopping Cart", "View Cart"
"Cart Subtotal:", "Total:"
"Add to Cart", "Add to Bag"
"Go to Shopping Cart", "View cart"
"Wir haben immer ein offenes Ohr für Sie und freuen uns über Ihre Anregungen, Kommentare und Rückfragen", "We always lend you a listening ear and are looking forward to your suggestions, comments and questions"
